year,title,lb_rating,tmdb_rating,genres,runtime_min,budget,revenue,original_language,production_companies,imdb_id,tmdb_id,original_title,tmdb_popularity,vote_count,release_date,overview,production_countries,status,tagline,profit
2018,The Witch: Part 1. The Subversion,3.62,7.89,"Action, Mystery, Science Fiction",126,5500000.0,24340302.0,ko,"Peppermint & Company, Warner Bros. Korea, Goldmoon Film, Finecut, Huayi Tencent Entertainment, Union Investment Partners",tt8574252,530254,마녀,8.0496,701,2018-06-27,"Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.","Hong Kong, South Korea",Released,Everything changed after they appeared.,18840302.0
2018,Godzilla: The Planet Eater,2.49,6.521,"Animation, Science Fiction, Action, Adventure",91,,1500000.0,ja,Polygon Pictures,tt8478602,536115,GODZILLA 星を喰う者,6.0814,390,2018-11-09,"With no means for defeating Godzilla Earth, mankind watches as King Ghidorah, clad in a golden light, descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.",Japan,Released,Bow down and worship the golden demise.,
2018,Gonjiam: Haunted Asylum,3.33,7.28,"Horror, Mystery",95,,21041950.0,ko,Hive Media Corp,tt8119752,508642,곤지암,5.7843,878,2018-03-28,"The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.",South Korea,Released,Experience the horror.,
2018,Call Boy,2.71,6.444,Drama,119,,,ja,"Phantom Film, Shueisha, Horipro, Happinet",tt7529650,499191,娼年,5.6245,54,2018-04-06,"Ryo Morinaka is a university student and works part-time at a bar. He is bored with his daily life and exists in a state of torpor. One day, his friend Shinya Tajima brings the owner of a host bar over to the place where Ryo Morinaka works. Shizuka Mido is the owner of the host bar. Soon, Ryo Morinaka begins to work for Shizuka Mido at the members only host bar. He feels embarrassment initially, but he fulfills the desires of women and develops a sense of purpose.",Japan,Released,,
2018,Yo-kai Watch: Friends Forever,3.47,7.545,"Animation, Fantasy, Adventure",100,,10336365.0,ja,"LEVEL5, dentsu, Shogakukan, TOHO, OLM, Bandai, TV Tokyo, TV Aichi, TV Osaka, TVQ Kyushu Broadcasting, Television Hokkaido Broadcasting, TV Setouchi Broadcasting, KADOKAWA, Kids Station, jeki, Shogakukan-Shueisha Productions, Avex Entertainment, GYAO, Contents Three",tt9447676,550104,映画 妖怪ウォッチ FOREVER FRIENDS,5.2681,11,2018-12-14,"The film tells the story of interweaving friendships between three children and yo-kai. The film is set in 1960s Tokyo, in Sakura Motomachi. A boy named Shin lives a poor but happy life. When his mother — his only family member — dies, Shin's unhappiness hits rock bottom. That is when another boy named Itsuki saves Shin. Itsuki has also lost his older sister. Shin, Itsuki, and a young girl named Tae who can see yo-kai all become friends. Shin's guardian spirit Suu-san, a ""Nekomata"" cat, and other new yo-kai join their group, and this group is able to regain what it means to have a precious family. This new family must now face a mysterious incident, and a shocking reality awaits them.",Japan,Released,,
2018,The Testament of Sister New Devil: Departures,3.1,7.6,"Animation, Action, Romance, Fantasy",60,,,ja,Production IMS,tt10736506,507732,新妹魔王の契約者 DEPARTURES,5.215,38,2018-01-27,"The first movie based on the TV Series The Testament of Sister New Devil, takes place right after the season 2 final.",Japan,Released,,
2018,Detective Dee: The Four Heavenly Kings,3.27,6.281,"Action, Fantasy, Adventure, Mystery",132,,84168923.0,zh,Huayi Brothers Pictures 浙江华谊兄弟影业,tt6869538,506763,狄仁杰之四大天王,4.7826,210,2018-07-27,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.","China, Hong Kong",Released,,
2018,My Hero Academia: Two Heroes,3.28,7.883,"Animation, Action, Adventure, Fantasy",96,12000000.0,27507549.0,ja,"BONES, Yomiuri Telecasting Corporation, Shueisha, Nippon Television Network Corporation, dentsu, Sony Music Entertainment (Japan), movic, TOHO",tt7745068,505262,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,4.2786,1084,2018-08-03,"All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",Japan,Released,Who is your hero?,15507549.0
2019,Parasite,2.4,8.494,"Comedy, Thriller, Drama",133,11363000.0,257591776.0,ko,Barunson E&A,tt6751668,496243,기생충,18.0343,20134,2019-05-30,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",South Korea,Released,Act like you own the place.,246228776.0
2019,Ne Zha,3.55,7.898,"Animation, Fantasy, Adventure",110,22000000.0,742718496.0,zh,"Beijing Enlight Pictures, Horgos Coloroom Pictures, October Media, Chengdu Coco Cartoon",tt10627720,615453,哪吒之魔童降世,12.2909,797,2019-07-26,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",China,Released,Fight your fate,720718496.0
2019,"The Gangster, the Cop, the Devil",3.55,7.845,"Crime, Action, Thriller",110,6500000.0,25775371.0,ko,"Acemaker Movieworks, BA Entertainment, Kiwi Media Group, B&C Content",tt10208198,581528,악인전,7.7893,1405,2019-05-15,"After barely surviving a brutal attack by a sadistic serial killer, crime boss Jang Dong-su is left humiliated. Determined to catch the killer known as K, he forms an uneasy alliance with Jung Tae-seok, a relentless and incorruptible detective who often disrupts his illegal business. However, while Jang Dong-su wants K dead, Jung Tae-suk is determined to bring him to justice. With a deal in place—whoever finds K first will decide his fate—the hunt begins, blurring the lines between crime and law.",South Korea,Released,Don't let the devil win.,19275371.0
2019,It Feels So Good,3.46,6.533,"Drama, Romance",115,,,ja,"Studio3, VAP",tt10747038,625976,火口のふたり,5.9046,46,2019-08-23,"When it rains it pours. Kenji divorced his wife, lost his job and his old squeeze Naoko is getting married back home in the north of Japan, specifically in Akita. He returns there in order to attend her wedding. Naoko surprises him by proposing that they have sex again. The one night stand is the new beginning.",Japan,Released,,
2019,Weathering with You,3.69,7.987,"Animation, Drama, Fantasy, Romance",112,11100000.0,192729404.0,ja,"CoMix Wave Films, Story, TOHO, KADOKAWA, jeki, Lawson Entertainment, ""Weathering With You"" Film Partners",tt9426210,568160,天気の子,5.3775,2557,2019-07-19,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",Japan,Released,A story about the secret of this world that only I and she know.,181629404.0
