Year,Title,Director,Genres,LB_Rating,TMDb_Popularity
1988,Door,Banmei Takahashi,"Horror, Mystery, Thriller",None,5.1972
1988,Dragon Ball: Mystical Adventure,Kazuhisa Takenouchi,"Action, Animation",3.09,3.6266
1988,Guinea Pig: Mermaid in the Manhole,Hideshi Hino,"Horror, Romance",3.36,2.8598
1989,Kiki's Delivery Service,Hayao Miyazaki,"Animation, Family, Fantasy, Drama",4.14,6.5668
1989,Lucky Sky Diamond,Izo Hashimoto,"Horror, Science Fiction",2.81,4.5452
1989,Dragon Ball Z: Dead Zone,Daisuke Nishio,"Animation, Action, Fantasy",3.01,3.9259
1989,Riki-Oh: The Wall of Hell,Satoshi Dezaki,"Action, Animation, Drama, Fantasy",3.26,3.836
1989,Mini Yon Soldier Rin!,Yuji Muto,"Animation, Action, Adventure, Comedy",None,3.5076
1990,Ghost,Takashi Ito,"Fantasy, Animation, Horror",3.59,3.06
1990,Nineteen 19,Koichi Chigira,"Animation, Romance, Drama",3.42,3.2273
1990,Dragon Ball Z: The World's Strongest,Daisuke Nishio,"Action, Animation, Science Fiction",2.88,3.3328
1990,Dragon Ball Z: The Tree of Might,Daisuke Nishio,"Action, Animation, Science Fiction",2.99,3.5136
1990,Dragon Ball Z: Bardock - The Father of Goku,Mitsuo Hashimoto,"Animation, Action, Science Fiction, Drama, Fantasy",None,3.9173
1991,Dragon Ball Z: Cooler's Revenge,Mitsuo Hashimoto,"Action, Animation, Science Fiction",3.29,5.6228
1991,Mobile Suit Gundam F91,Yoshiyuki Tomino,"Animation, Science Fiction",3.18,4.7845
1991,Mr. Gosuto ni Yoroshiku,Shinya Yamamoto,,None,4.0913
1991,Inferious Interplanetary War Chronicle - Condition Green,Shigeyasu Yamauchi,,None,3.71
1991,Dragon Ball Z: Lord Slug,Mitsuo Hashimoto,"Action, Animation, Science Fiction",2.79,3.6856
1992,Midori,Hiroshi Harada,"Animation, Drama, Horror",None,4.2425
1992,Iron Virgin Jun,Fumio Maezono,"Animation, Fantasy, Comedy",None,4.3898
1992,Dragon Ball Z: Super Android 13!,Daisuke Nishio,"Action, Animation, Science Fiction",3.01,4.2318
1992,Dragon Ball Z: The Return of Cooler,Daisuke Nishio,"Action, Animation, Science Fiction",2.99,7.26
1992,Porco Rosso,Hayao Miyazaki,"Family, Comedy, Animation, Adventure, Fantasy",4.03,5.3254
1993,Dragon Ball Z: Bojack Unbound,Yoshihiro Ueda,"Action, Animation, Science Fiction",3.25,8.0235
1993,Dragon Ball Z: Broly - The Legendary Super Saiyan,Shigeyasu Yamauchi,"Animation, Science Fiction, Action",None,6.5083
